raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,millis,fastestLap,fastestLaptime,status
19,russell,williams,63,17,17,17,0,24,+47.739,1797298,14,1:14.056,Finished
19,raikkonen,alfa,7,13,18,18,0,24,+50.014,1799573,9,1:13.900,Finished
19,mick_schumacher,haas,47,18,19,19,0,24,+1:01.680,1811239,9,1:14.387,Finished
19,mazepin,haas,9,19,20,20,0,24,+1:07.474,1817033,6,1:14.583,Finished
4,alonso,alpine,14,5,9,9,0,21,+32.278,1871845,10,1:20.639,Finished
4,mick_schumacher,haas,47,12,10,10,0,21,+33.773,1873340,15,1:20.567,Finished
4,russell,mercedes,63,11,11,11,0,21,+36.284,1875851,19,1:20.756,Finished
4,tsunoda,alphatauri,22,16,12,12,0,21,+38.298,1877865,20,1:20.909,Finished
4,vettel,aston_martin,5,9,13,13,0,21,+40.177,1879744,8,1:21.044,Finished
4,hamilton,mercedes,44,13,14,14,0,21,+41.459,1881026,9,1:20.663,Finished
4,stroll,aston_martin,18,15,15,15,0,21,+42.910,1882477,14,1:20.948,Finished
4,ocon,alpine,31,19,16,16,0,21,+43.517,1883084,14,1:20.995,Finished
4,gasly,alphatauri,10,17,17,17,0,21,+43.794,1883361,18,1:20.599,Finished
4,albon,williams,23,20,18,18,0,21,+48.871,1888438,14,1:21.020,Finished
4,latifi,williams,6,18,19,19,0,21,+52.017,1891584,16,1:21.437,Finished
11,mick_schumacher,haas,47,7,9,9,0,23,+37.163,1627222,4,1:09.457,Finished
11,bottas,alfa,77,12,10,10,0,23,+37.557,1627616,4,1:09.674,Finished
11,norris,mclaren,4,15,11,11,0,23,+38.580,1628639,8,1:09.909,Finished
11,ricciardo,mclaren,3,16,12,12,0,23,+39.738,1629797,8,1:09.996,Finished
11,stroll,aston_martin,18,17,13,13,0,23,+48.241,1638300,4,1:10.295,Finished
11,zhou,alfa,24,18,14,14,0,23,+50.753,1640812,11,1:10.165,Finished
11,gasly,alphatauri,10,10,15,15,0,23,+52.125,1642184,4,1:10.409,Finished
11,albon,williams,23,11,16,16,0,23,+52.412,1642471,5,1:10.367,Finished
11,tsunoda,alphatauri,22,14,17,17,0,23,+54.556,1644615,4,1:10.267,Finished
11,latifi,williams,6,19,18,18,0,23,+1:08.694,1658753,4,1:10.284,Finished
21,vettel,aston_martin,5,13,9,9,0,24,+30.218,1841525,4,1:15.451,Finished
21,gasly,alphatauri,10,12,10,10,0,24,+34.170,1845477,3,1:15.290,Finished
21,ricciardo,mclaren,3,14,11,11,0,24,+39.395,1850702,5,1:15.385,Finished
21,mick_schumacher,haas,47,20,12,12,0,24,+41.159,1852466,5,1:15.771,Finished
21,zhou,alfa,24,17,13,13,0,24,+41.763,1853070,7,1:15.765,Finished
21,bottas,alfa,77,18,14,14,0,24,+42.338,1853645,8,1:15.980,Finished
21,tsunoda,alphatauri,22,19,15,15,0,24,+50.306,1861613,4,1:16.413,Finished
21,stroll,aston_martin,18,15,16,16,0,24,+50.700,1862007,4,1:15.425,Finished
21,ocon,alpine,31,6,17,17,0,24,+51.756,1863063,5,1:16.097,Finished
21,alonso,alpine,14,7,18,18,0,24,+53.985,1865292,5,1:14.764,Finished
21,latifi,williams,6,16,19,19,0,24,+1:16.850,1888157,4,1:16.525,Finished
10,perez,red_bull,11,5,20,R,0,16,,,6,1:31.465,Vibrations
14,gasly,alphatauri,10,6,20,R,0,0,,,,,Accident
4,zhou,alfa,24,0,20,R,0,0,,,,,Retired
11,vettel,aston_martin,5,20,19,19,0,21,,,4,1:10.317,Collision damage
11,alonso,alpine,14,8,20,N,0,0,,,,,Electrical
21,albon,williams,23,11,20,R,0,12,,,4,1:15.998,Retired
10,max_verstappen,red_bull,33,2,1,1,3,17,25:38.426,1538426,14,1:30.013,Finished
10,hamilton,mercedes,44,1,2,2,2,17,+1.430,1539856,17,1:29.937,Finished
10,bottas,mercedes,77,3,3,3,1,17,+7.502,1545928,17,1:29.958,Finished
14,bottas,mercedes,77,1,1,1,3,18,27:54.078,1674078,9,1:23.540,Finished
14,max_verstappen,red_bull,33,3,2,2,2,18,+2.325,1676403,9,1:23.502,Finished
14,ricciardo,mclaren,3,5,3,3,1,18,+14.534,1688612,17,1:24.291,Finished
19,bottas,mercedes,77,2,1,1,3,24,29:09.559,1749559,8,1:12.300,Finished
19,max_verstappen,red_bull,33,1,2,2,2,24,+1.170,1750729,9,1:12.114,Finished
19,sainz,ferrari,55,5,3,3,1,24,+18.723,1768282,13,1:13.167,Finished
4,max_verstappen,red_bull,1,1,1,1,8,21,30:39.567,1839567,14,1:19.154,Finished
4,leclerc,ferrari,16,2,2,2,7,21,+2.975,1842542,11,1:19.044,Finished
4,perez,red_bull,11,7,3,3,6,21,+4.721,1844288,14,1:19.012,Finished
4,sainz,ferrari,55,10,4,4,5,21,+17.578,1857145,14,1:19.251,Finished
4,norris,mclaren,4,3,5,5,4,21,+24.561,1864128,9,1:20.030,Finished
4,ricciardo,mclaren,3,6,6,6,3,21,+27.740,1867307,12,1:20.328,Finished
4,bottas,alfa,77,8,7,7,2,21,+28.133,1867700,9,1:20.219,Finished
4,kevin_magnussen,haas,20,4,8,8,1,21,+30.712,1870279,6,1:20.557,Finished
11,max_verstappen,red_bull,1,1,1,1,8,23,26:30.059,1590059,5,1:08.455,Finished
11,leclerc,ferrari,16,2,2,2,7,23,+1.675,1591734,4,1:08.321,Finished
11,sainz,ferrari,55,3,3,3,6,23,+5.644,1595703,4,1:08.409,Finished
11,russell,mercedes,63,4,4,4,5,23,+13.429,1603488,4,1:08.979,Finished
11,perez,red_bull,11,13,5,5,4,23,+18.302,1608361,14,1:09.137,Finished
11,ocon,alpine,31,5,6,6,3,23,+31.032,1621091,4,1:09.384,Finished
11,kevin_magnussen,haas,20,6,7,7,2,23,+34.539,1624598,4,1:09.232,Finished
11,hamilton,mercedes,44,9,8,8,1,23,+35.447,1625506,7,1:09.516,Finished
21,russell,mercedes,63,3,1,1,8,24,30:11.307,1811307,4,1:14.233,Finished
21,sainz,ferrari,55,5,2,2,7,24,+3.995,1815302,2,1:14.522,Finished
21,hamilton,mercedes,44,8,3,3,6,24,+4.492,1815799,3,1:14.317,Finished
21,max_verstappen,red_bull,1,2,4,4,5,24,+10.494,1821801,5,1:14.507,Finished
21,perez,red_bull,11,9,5,5,4,24,+11.855,1823162,5,1:14.699,Finished
21,leclerc,ferrari,16,10,6,6,3,24,+13.133,1824440,4,1:15.236,Finished
21,norris,mclaren,4,4,7,7,2,24,+25.624,1836931,4,1:15.380,Finished
21,kevin_magnussen,haas,20,1,8,8,1,24,+28.768,1840075,2,1:15.110,Finished
